site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,29.46741944,116.6451222,28,6,373,127
2,29.01164167,116.6422833,28,6,481,237
3,29.12755833,116.5612694,28,6,436,209
4,28.61323056,116.4501361,28,6,534,332
5,28.68159722,116.4612167,28,6,521,316
6,28.61115278,116.4471611,28,6,534,333
7,28.82416111,116.4363528,28,6,482,282
8,28.88801389,116.514125,28,6,483,266
9,29.05591667,116.550125,28,6,451,226
10,29.13203611,116.585375,28,6,440,208
id,Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_qc_500m,sur_refl_szen,sur_refl_vzen,sur_refl_raz,sur_refl_state_500m,sur_refl_day_of_year,actual_date
1,2003/07/04,1711,138,1262,186,1073741824,17030,1744,2470,3047,1022,533,3007,1238,2003/07/05
1,2003/07/12,1919,136,104,195,1073741824,2622,1662,2434,3064,961,506,2929,1160,2003/07/14
1,2003/07/20,2142,138,1440,204,1073741824,-1271,1772,2736,3254,1018,525,3208,1227,2003/07/23
1,2003/07/28,1842,136,2375,209,1073741824,16023,1568,2259,2756,864,460,2641,1049,2003/07/28
1,2003/08/05,2087,73,1181,218,1073741824,15654,1329,2167,2728,779,420,2816,814,2003/08/06
1,2003/08/13,2153,137,3434,232,1073741824,14212,987,1912,2805,588,277,2939,547,2003/08/20
1,2003/08/21,2623,72,1422,236,1073741824,-3151,1479,2517,3311,880,490,3541,903,2003/08/24
1,2003/08/29,2918,74,2620,245,1073741824,-3545,2252,3097,3397,1165,719,3405,1440,2003/09/02
1,2003/09/06,3467,200,5189,256,1073741824,-3712,2015,2942,3618,1049,553,3410,1243,2003/09/13
1,2003/09/14,3546,1033,4475,263,1073741824,-4178,3266,4604,5172,4104,3880,5040,4054,2003/09/20
1,2003/09/22,3251,72,1200,266,1075576832,12579,1514,2265,2906,826,491,2722,929,2003/09/23
1,2003/09/30,3602,200,85,275,1073741824,-6140,1903,2673,3204,1072,598,2957,1210,2003/10/02
1,2003/10/08,4336,72,5137,288,1073741824,-5110,1937,2874,3500,1043,573,2960,1282,2003/10/15
1,2003/10/16,4127,136,74,291,1073741824,-3183,1638,2413,2972,850,498,2503,1038,2003/10/18
1,2003/10/24,4465,136,1377,300,1073741824,-5894,2025,2694,3098,965,591,2527,1253,2003/10/27
1,2003/11/01,4497,200,2412,305,1073741824,11504,1675,2306,2698,849,517,2193,1036,2003/11/01
1,2003/11/09,4752,136,5647,317,1073741824,10985,1617,2305,2510,891,559,2167,1119,2003/11/13
1,2003/11/17,5345,136,4348,327,1073741824,-5927,1499,2331,2838,854,503,2273,1031,2003/11/23
1,2003/11/25,5434,136,3458,334,1073741824,-6031,1670,2485,2691,952,594,2341,1193,2003/11/30
1,2003/12/03,5381,202,125,339,1073741824,12651,1460,2231,2669,785,468,2167,948,2003/12/05
1,2003/12/11,5536,72,1177,348,1073741824,-6141,1326,2169,2466,804,506,2186,950,2003/12/14
1,2003/12/19,5435,72,3603,360,1073741824,11692,1459,2182,2389,789,488,2132,937,2003/12/26
1,2003/12/27,5509,136,1426,362,1073741824,11667,1366,2006,2571,756,461,2071,897,2003/12/28id,Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_qc_500m,sur_refl_szen,sur_refl_vzen,sur_refl_raz,sur_refl_state_500m,sur_refl_day_of_year,actual_date
1,2004/01/01,5702,200,3458,1,1073741824,-5722,1947,2571,3066,1013,614,2470,1311,2004/01/01
1,2004/01/09,5402,200,1381,13,1073741824,11882,1156,1803,2344,780,459,2021,913,2004/01/13
1,2004/01/17,5397,72,2472,24,1073741824,-5405,1447,2123,2767,812,481,2320,985,2004/01/24
1,2004/01/25,5062,200,3537,27,1073741824,12153,1304,1903,2136,778,497,1932,981,2004/01/27
1,2004/02/02,4888,200,2513,36,1073741824,12304,1476,2101,2316,1007,604,2183,1228,2004/02/05
1,2004/02/10,5114,136,4388,42,1073741824,-4769,1753,2673,3019,1019,634,2789,1192,2004/02/11
1,2004/02/18,4931,202,5107,51,1073741824,-4520,1619,2427,2787,840,451,2349,987,2004/02/20
1,2004/02/26,4620,136,4397,58,1073741824,-4521,1536,2344,2970,1029,555,2728,1109,2004/02/27
1,2004/03/05,3878,136,33,70,1073741824,300,1347,2090,2456,911,491,2392,996,2004/03/10
1,2004/03/13,3483,1800,3490,75,1073741824,12967,1418,2100,2378,1414,1214,2447,1474,2004/03/15
1,2004/03/21,3380,8204,2574,88,1073741824,-3790,1203,1966,2378,1214,987,2379,1262,2004/03/28
1,2004/03/29,2943,136,1190,93,1073741824,13566,1238,1787,2243,812,438,2087,938,2004/04/02
1,2004/04/06,2613,72,2384,100,1073741824,13612,1202,1785,2139,808,458,2195,899,2004/04/09
1,2004/04/14,2527,136,1377,111,1073741824,-3094,1166,1943,2587,836,436,2456,887,2004/04/20
1,2004/04/22,2234,136,66,118,1073741824,-14,1234,1844,2117,886,520,2131,1073,2004/04/27
1,2004/04/30,2137,72,1341,127,1075576832,-2204,1133,1916,5636,907,506,2528,948,2004/05/06
1,2004/05/08,1564,200,4352,130,1075576832,14382,882,1558,2592,769,407,2134,776,2004/05/09
1,2004/05/16,1911,200,1323,143,1075576832,-1303,1229,2042,3808,852,461,2603,869,2004/05/22
1,2004/05/24,1514,138,2476,148,1073741824,16115,1463,2122,2469,853,478,2504,993,2004/05/27
1,2004/06/01,1360,1033,3499,155,1073741824,16225,1909,2479,2870,1960,1904,3017,1856,2004/06/03
1,2004/06/09,2106,200,3562,161,1073741824,-522,1320,2315,3031,800,386,3243,747,2004/06/09
1,2004/06/17,1628,8204,1253,173,1073741824,17126,1067,2185,3137,757,467,3625,598,2004/06/21
1,2004/06/25,1807,200,65,182,1073741824,4655,903,1880,2930,786,280,3379,593,2004/06/30
1,2004/07/03,2003,200,1332,191,1073741824,-551,1034,2078,3013,726,306,3133,613,2004/07/09
1,2004/07/11,1940,1289,23,198,1073741824,-3931,831,1615,2404,1170,1010,2564,1035,2004/07/16
1,2004/07/19,1893,136,1290,205,1073741824,16367,1429,2198,2893,857,429,2876,1012,2004/07/23
1,2004/07/27,2431,136,3543,209,1073741824,-1158,1502,2527,3226,982,521,3377,1042,2004/07/27
1,2004/08/04,2379,201,1322,223,1073741824,-2365,1379,2341,3050,808,397,3099,804,2004/08/10
1,2004/08/12,2645,136,2527,232,1073741824,-2665,1271,2384,3309,766,356,3610,662,2004/08/19
1,2004/08/20,2443,136,1272,237,1073741824,14229,1027,2007,3172,663,247,3602,549,2004/08/24
1,2004/08/28,2927,72,3562,241,1073741824,-3089,1286,2540,3806,860,388,3944,758,2004/08/28
1,2004/09/05,2651,200,5636,256,1073741824,12190,837,1623,2583,531,226,2707,477,2004/09/12
