1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
11,No Data
id,Date,Daily daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Time of daytime Land-surface Temperature observation,View zenith angle of daytime Land-surface Temperature,Daily nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Time of nighttime Land-surface Temperature observation,View zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,day clear-sky coverage,night clear-sky coverage,actual_date
1,2000/11/23,14563,81,108,38,14170,81,218,12,240,243,123,3963,N\A
1,2000/11/24,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/25,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/26,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/27,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/28,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/29,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/11/30,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/12/01,0,2,255,255,14114,81,226,94,240,243,0,1993,N\A
1,2000/12/02,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/12/03,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/12/04,0,2,255,255,13989,81,231,128,240,243,0,2616,N\A
1,2000/12/05,0,2,255,255,14075,81,222,45,240,243,0,2000,N\A
1,2000/12/06,0,2,255,255,14113,17,229,118,240,243,0,2000,N\A
1,2000/12/07,0,2,255,255,14154,81,220,25,240,243,0,3196,N\A
1,2000/12/08,0,2,255,255,14230,81,227,103,240,243,0,2000,N\A
1,2000/12/09,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/12/10,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/12/11,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/12/12,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/12/13,0,2,255,255,13792,81,230,123,240,243,0,2000,N\A
1,2000/12/14,0,2,255,255,13858,81,221,35,240,243,0,2107,N\A
1,2000/12/15,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/12/16,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/12/17,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/12/18,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/12/19,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/12/20,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/12/21,0,2,255,255,13853,145,222,46,240,243,0,2000,N\A
1,2000/12/22,14220,145,103,2,13950,81,229,118,240,243,716,2386,N\A
1,2000/12/23,0,2,255,255,13920,81,220,26,240,243,0,2000,N\A
1,2000/12/24,14362,145,117,124,14013,81,227,104,240,243,780,2000,N\A
