site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
8,2010/09/30,1763,4330,4096,N\A
8,2010/10/08,752,3058,4096,N\A
8,2010/10/16,2239,3532,4096,N\A
8,2010/10/24,287,3184,4096,N\A
8,2010/11/01,1397,3391,4096,N\A
8,2010/11/09,386,3528,4096,N\A
8,2010/11/17,250,3108,4096,N\A
8,2010/11/25,1904,3587,4096,N\A
8,2010/12/03,333,3067,4096,N\A
8,2010/12/11,246,2857,4096,N\A
8,2010/12/19,247,3128,4096,N\A
8,2010/12/27,252,2809,4096,N\A
9,2010/01/01,190,2081,4096,N\A
9,2010/01/09,1467,2532,4096,N\A
9,2010/01/17,4022,4966,4096,N\A
9,2010/01/25,484,2525,4096,N\A
9,2010/02/02,498,2413,4096,N\A
9,2010/02/10,426,1800,4096,N\A
9,2010/02/18,505,2388,4096,N\A
9,2010/02/26,451,1970,4096,N\A
9,2010/03/06,534,2750,4096,N\A
9,2010/03/14,263,2145,4096,N\A
9,2010/03/22,367,2854,4096,N\A
9,2010/03/30,418,2842,4096,N\A
9,2010/04/07,404,2921,4096,N\A
9,2010/04/15,454,3499,4096,N\A
9,2010/04/23,3906,5168,4096,N\A
9,2010/05/01,475,3630,4096,N\A
9,2010/05/09,577,4198,4096,N\A
9,2010/05/17,353,2778,4096,N\A
9,2010/05/25,452,2923,4096,N\A
9,2010/06/02,522,2834,4096,N\A
9,2010/06/10,455,4093,4096,N\A
9,2010/06/18,1057,3364,4096,N\A
9,2010/06/26,277,23,4096,N\A
9,2010/07/04,395,3378,4096,N\A
9,2010/07/12,278,3210,4096,N\A
9,2010/07/20,868,2819,4096,N\A
9,2010/07/28,667,3597,4096,N\A
9,2010/08/05,259,2783,4096,N\A
9,2010/08/13,399,4199,4096,N\A
9,2010/08/21,3952,5241,4096,N\A
9,2010/08/29,962,4109,4096,N\A
9,2010/09/06,316,3475,4096,N\A
9,2010/09/14,135,2914,4096,N\A
9,2010/09/22,398,4241,4096,N\A
9,2010/09/30,2573,3737,4096,N\A
9,2010/10/08,561,2190,4096,N\A
9,2010/10/16,1033,3085,4096,N\A
9,2010/10/24,255,2942,4096,N\A
9,2010/11/01,183,2545,4096,N\A
9,2010/11/09,183,2645,4096,N\A
9,2010/11/17,281,2841,4096,N\A
9,2010/11/25,695,1991,4096,N\A
9,2010/12/03,412,2714,4096,N\A
9,2010/12/11,240,2648,4096,N\A
9,2010/12/19,334,2828,4096,N\A
9,2010/12/27,261,2491,4096,N\A
